"City of license / Market","Station","Channel  TV ( RF )","Owned since","Primary affiliation"
"Huntsville – Decatur, Alabama","WHNT-TV ++","19 (19)","2013","CBS"
"Fort Smith – Fayetteville, Arkansas","KFSM-TV ++","5 (18)","2013","CBS"
"Fort Smith – Fayetteville, Arkansas","KXNW ++","34 (34)","2013","MyNetworkTV"
"Los Angeles, California","KTLA","5 (31)","1985","The CW"
"Sacramento – Stockton – Modesto,  California ","KTXL ¤¤","40 (40)","1997","Fox"
"San Diego, California","KSWB-TV","69 (19)","1996","Fox"
"Denver, Colorado","KWGN-TV","2 (34)","1966","The CW"
"Denver, Colorado","KDVR ++","31 (32)","2013","Fox"
"Fort Collins, Colorado","KFCT ++  (satellite of KDVR)","22 (21)","2013","Fox"
"Hartford – New Haven, Connecticut","WTIC-TV ¤¤","61 (31)","1997","Fox"
"Waterbury, Connecticut","WCCT-TV","20 (20)","2001","The CW"
"Washington, D.C.","WDCW","50 (50)","1999","The CW"
"Miami – Fort Lauderdale, Florida","WSFL-TV ¤¤","39 (19)","1997","The CW"
"Chicago, Illinois","WGN-TV **","9 (19)","1948","Independent"
"Moline, Illinois ( Quad Cities )","WQAD-TV ++","8 (38)","2013","ABC"
"Bloomington, Indiana","WTTV ¤¤","4 (48)","2002","CBS"
"Indianapolis, Indiana","WXIN","59 (45)","1997","Fox"
"Kokomo, Indiana","WTTK  (satellite of WTTV)","29 (29)","2002","CBS"
"Des Moines, Iowa","WHO-DT ++","13 (13)","2013","NBC"
"New Orleans, Louisiana","WGNO","26 (26)","1983","ABC"
"New Orleans, Louisiana","WNOL-TV","38 (15)","1999","The CW"
"Grand Rapids – Battle Creek -  Kalamazoo, Michigan","WXMI","17 (19)","1998","Fox"
"Kansas City, Missouri","WDAF-TV ++","4 (34)","2013","Fox"
"St. Louis, Missouri","KTVI ++","2 (43)","2013","Fox"
"St. Louis, Missouri","KPLR-TV","11 (26)","2003","The CW"
"New York City, New York","WPIX **","11 (11)","1948","The CW"
"High Point – Greensboro -  Winston-Salem, North Carolina","WGHP ++","8 (35)","2013","Fox"
"Cleveland – Akron, Ohio","WJW ++","8 (8)","2013","Fox"
"Oklahoma City, Oklahoma","KFOR-TV ++","4 (27)","2013","NBC"
"Oklahoma City, Oklahoma","KAUT-TV ++","43 (40)","2013","Independent"
"Salem – Portland, OR","KRCW-TV","32 (33)","2003","The CW"
"Philadelphia, Pennsylvania","WPHL-TV","17 (17)","1992","MyNetworkTV"
"Scranton – Wilkes Barre,  Pennsylvania ","WNEP-TV ++ ‡‡","16 (50)","2013","ABC"
"York – Harrisburg -  Lancaster – Lebanon, PA","WPMT ¤¤","43 (47)","1997","Fox"
"Memphis, Tennessee","WREG-TV ++","3 (28)","2013","CBS"
"Dallas – Fort Worth, Texas","KDAF ¤¤","33 (32)","1997","The CW"
"Houston, Texas","KIAH","39 (38)","1995","The CW"
"Salt Lake City, Utah","KSTU ++","13 (28)","2013","Fox"
"Norfolk – Portsmouth, Virginia ( Hampton Roads )","WTKR ++ ‡‡","3 (40)","2013","CBS"
"Norfolk – Portsmouth, Virginia ( Hampton Roads )","WGNT ++ ‡‡","27 (50)","2013","The CW"
"Richmond, Virginia","WTVR-TV ++","6 (25)","2013","CBS"
"Tacoma – Seattle, Washington","KCPQ","13 (13)","1999","Fox"
"Tacoma – Seattle, Washington","KZJO","22 (25)","1998","MyNetworkTV"
"Milwaukee, Wisconsin","WITI ++","6 (33)","2013","Fox"
